,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Ballad Of Me And My Brain,0.223,0.631,1,-5.417,1,0.0627,0.0496,1.95e-05,0.181,0.346,82.021,audio_features,3qHgR2gDh0WntBcVVjwZsS,spotify:track:3qHgR2gDh0WntBcVVjwZsS,https://api.spotify.com/v1/tracks/3qHgR2gDh0WntBcVVjwZsS,https://api.spotify.com/v1/audio-analysis/3qHgR2gDh0WntBcVVjwZsS,171444,5
Somebody Else,0.63,0.784,0,-5.578,1,0.0563,0.393,0.0361,0.166,0.442,101.02,audio_features,0z5hY7soxh7zU5HFTcT3xs,spotify:track:0z5hY7soxh7zU5HFTcT3xs,https://api.spotify.com/v1/tracks/0z5hY7soxh7zU5HFTcT3xs,https://api.spotify.com/v1/audio-analysis/0z5hY7soxh7zU5HFTcT3xs,347526,4
Loving Someone,0.583,0.657,7,-6.904,1,0.0461,0.065,0.00112,0.133,0.186,90.012,audio_features,0WhUTdc9uKHGHKzxI2uowq,spotify:track:0WhUTdc9uKHGHKzxI2uowq,https://api.spotify.com/v1/tracks/0WhUTdc9uKHGHKzxI2uowq,https://api.spotify.com/v1/audio-analysis/0WhUTdc9uKHGHKzxI2uowq,260420,4
"I like it when you sleep, for you are so beautiful yet so unaware of it",0.329,0.6,6,-10.064,1,0.0711,0.698,0.35,0.083,0.0382,121.402,audio_features,0GwehH5mGy0KaENyLFBTMV,spotify:track:0GwehH5mGy0KaENyLFBTMV,https://api.spotify.com/v1/tracks/0GwehH5mGy0KaENyLFBTMV,https://api.spotify.com/v1/audio-analysis/0GwehH5mGy0KaENyLFBTMV,386088,4
The Sound,0.648,0.936,0,-4.745,1,0.0762,0.085,6.93e-06,0.482,0.566,120.708,audio_features,4bHG0fXE9AaytM4G7wta5g,spotify:track:4bHG0fXE9AaytM4G7wta5g,https://api.spotify.com/v1/tracks/4bHG0fXE9AaytM4G7wta5g,https://api.spotify.com/v1/audio-analysis/4bHG0fXE9AaytM4G7wta5g,248880,4
This Must Be My Dream,0.597,0.839,9,-4.684,1,0.0379,0.0174,0.000226,0.316,0.643,103.015,audio_features,4wd751U6sRVkN4Vyk9nCsC,spotify:track:4wd751U6sRVkN4Vyk9nCsC,https://api.spotify.com/v1/tracks/4wd751U6sRVkN4Vyk9nCsC,https://api.spotify.com/v1/audio-analysis/4wd751U6sRVkN4Vyk9nCsC,252469,4
Paris,0.794,0.668,8,-6.516,1,0.0363,0.527,0.00107,0.076,0.85,117.014,audio_features,6mi66Q8esVS4U5Qv0NSqU5,spotify:track:6mi66Q8esVS4U5Qv0NSqU5,https://api.spotify.com/v1/tracks/6mi66Q8esVS4U5Qv0NSqU5,https://api.spotify.com/v1/audio-analysis/6mi66Q8esVS4U5Qv0NSqU5,293077,4
Nana,0.678,0.296,5,-11.525,1,0.0299,0.797,0.00348,0.113,0.245,111.018,audio_features,3x2lVrWpevSGhrVKtQMypM,spotify:track:3x2lVrWpevSGhrVKtQMypM,https://api.spotify.com/v1/tracks/3x2lVrWpevSGhrVKtQMypM,https://api.spotify.com/v1/audio-analysis/3x2lVrWpevSGhrVKtQMypM,238296,4
She Lays Down,0.513,0.122,7,-22.008,1,0.04,0.792,0.000652,0.087,0.501,82.865,audio_features,1GwUBpVd8qLXVhL0kgIN0v,spotify:track:1GwUBpVd8qLXVhL0kgIN0v,https://api.spotify.com/v1/tracks/1GwUBpVd8qLXVhL0kgIN0v,https://api.spotify.com/v1/audio-analysis/1GwUBpVd8qLXVhL0kgIN0v,238733,4
The City,0.47,0.941,5,-6.187,1,0.108,0.000186,0.000748,0.187,0.264,95.042,audio_features,1HkdlIRiCg25D6T3FUicHo,spotify:track:1HkdlIRiCg25D6T3FUicHo,https://api.spotify.com/v1/tracks/1HkdlIRiCg25D6T3FUicHo,https://api.spotify.com/v1/audio-analysis/1HkdlIRiCg25D6T3FUicHo,224067,4
M.O.N.E.Y.,0.422,0.658,7,-8.197,1,0.0728,0.0915,8.17e-05,0.115,0.619,114.25,audio_features,7E3KWBI6pSXg5wELsTewN1,spotify:track:7E3KWBI6pSXg5wELsTewN1,https://api.spotify.com/v1/tracks/7E3KWBI6pSXg5wELsTewN1,https://api.spotify.com/v1/audio-analysis/7E3KWBI6pSXg5wELsTewN1,216560,4
Chocolate,0.614,0.938,11,-4.461,1,0.0611,0.000532,0.0,0.368,0.607,100.058,audio_features,5It7Lw1E8VCSyS6AQv6nPm,spotify:track:5It7Lw1E8VCSyS6AQv6nPm,https://api.spotify.com/v1/tracks/5It7Lw1E8VCSyS6AQv6nPm,https://api.spotify.com/v1/audio-analysis/5It7Lw1E8VCSyS6AQv6nPm,224667,4
Sex,0.352,0.963,2,-4.133,1,0.0836,2.14e-05,6.71e-05,0.277,0.136,148.26,audio_features,1rLR9OGocwaoI1TTKi9N2Z,spotify:track:1rLR9OGocwaoI1TTKi9N2Z,https://api.spotify.com/v1/tracks/1rLR9OGocwaoI1TTKi9N2Z,https://api.spotify.com/v1/audio-analysis/1rLR9OGocwaoI1TTKi9N2Z,206133,4
Talk!,0.58,0.854,4,-6.575,1,0.0644,0.0182,2.89e-06,0.598,0.639,120.031,audio_features,3n1FHRrrg9f1gOVczO0nil,spotify:track:3n1FHRrrg9f1gOVczO0nil,https://api.spotify.com/v1/tracks/3n1FHRrrg9f1gOVczO0nil,https://api.spotify.com/v1/audio-analysis/3n1FHRrrg9f1gOVczO0nil,167747,4
An Encounter,0.386,0.432,4,-16.452,1,0.0399,0.89,0.977,0.0887,0.055,99.226,audio_features,4KZTeX5c3gl3WIyp8oCtfX,spotify:track:4KZTeX5c3gl3WIyp8oCtfX,https://api.spotify.com/v1/tracks/4KZTeX5c3gl3WIyp8oCtfX,https://api.spotify.com/v1/audio-analysis/4KZTeX5c3gl3WIyp8oCtfX,74747,4
Heart Out,0.706,0.83,2,-4.918,1,0.0274,0.00822,0.00112,0.0762,0.886,118.446,audio_features,0d1DpOK5C5m1YGF5fuW37a,spotify:track:0d1DpOK5C5m1YGF5fuW37a,https://api.spotify.com/v1/tracks/0d1DpOK5C5m1YGF5fuW37a,https://api.spotify.com/v1/audio-analysis/0d1DpOK5C5m1YGF5fuW37a,202293,4
Settle Down,0.597,0.952,2,-5.293,1,0.051,0.00301,8.7e-05,0.789,0.841,107.117,audio_features,3VstRb5gK5ZApTNGH3UH22,spotify:track:3VstRb5gK5ZApTNGH3UH22,https://api.spotify.com/v1/tracks/3VstRb5gK5ZApTNGH3UH22,https://api.spotify.com/v1/audio-analysis/3VstRb5gK5ZApTNGH3UH22,239893,4
Robbers,0.621,0.692,4,-6.858,1,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,audio_features,7aHx437dgnClpc32kdt2wk,spotify:track:7aHx437dgnClpc32kdt2wk,https://api.spotify.com/v1/tracks/7aHx437dgnClpc32kdt2wk,https://api.spotify.com/v1/audio-analysis/7aHx437dgnClpc32kdt2wk,254507,4
